Models,Accuracy,Precision,Recall,F1_score,ROC_AUC_score,Methods
ExtraTreesClassifier,0.9887896304081275,0.9979201331114809,0.9759967453213995,0.9868366927190457,0.9872293785050554,train
GradientBoostingClassifier,0.8801891749868629,0.9039162112932605,0.807567127746135,0.8530296519123335,0.8713320105048732,train
HistGradientBoostingClassifier,0.9879138202837625,0.991766158913133,0.9800650935720098,0.9858809085328423,0.9869565701634272,train
KNeighborsClassifier,0.8469083902609914,0.8513753327417923,0.7807160292921074,0.814516129032258,0.8388354062178778,train
LogisticRegression,0.8633736205990541,0.8686291739894552,0.8043124491456468,0.8352344740177439,0.8561703740652873,train
RandomForestClassifier,0.9887896304081275,0.9913793103448276,0.9825061025223759,0.9869227625664078,0.9880232758074814,train
SVC,0.8773865825888947,0.9169829222011385,0.7864117168429617,0.8466929478756023,0.8662910629739262,train
